taxon_id,taxon_name,taxon_iconic_taxon_name,taxon_rank,taxon_rank_level,taxon_ancestry,prev_obs_taxon_id,prev_obs_taxon_name,prev_obs_taxon_iconic_taxon_name,prev_obs_taxon_rank,prev_obs_taxon_rank_level,prev_obs_taxon_ancestry,obs_had_species_cid,more_conservative,disagreement,exact_agreement,more_specific_agreement
4647,Falco peregrinus,Aves,species,10.0,48460/1/2/355675/3/67570/4637/4638,4647,Falco peregrinus,Aves,species,10.0,48460/1/2/355675/3/67570/4637/4638,true,false,false,true,false
49150,Agraulis vanillae,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47224/47922/60854/134173/49151,130349,Dione,Insecta,genus,20.0,48460/1/47120/372739/47158/184884/47157/47224/47922/60854/134173,false,false,true,false,false
32093,Boa constrictor,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,32093,Boa constrictor,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,true,false,false,true,false
119440,Fromia,Animalia,genus,20.0,48460/1/47549/481959/47668/533710/49501/117292,119436,Fromia monilis,Animalia,species,10.0,48460/1/47549/481959/47668/533710/49501/117292/119440,true,true,false,false,false
106446,Naja annulifera,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30403/30475,106446,Naja annulifera,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30403/30475,true,false,false,true,false
520470,Sistrurus tergeminus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30979,30979,Sistrurus,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/30667/797576,false,false,false,false,true
520470,Sistrurus tergeminus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30979,30979,Sistrurus,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/30667/797576,false,false,false,false,true
30877,Atheris squamigera,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797529/30874,30877,Atheris squamigera,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797529/30874,true,false,false,true,false
520470,Sistrurus tergeminus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30979,30979,Sistrurus,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/30667/797576,false,false,false,false,true
30798,Bothrops asper,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,30798,Bothrops asper,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,true,false,false,true,false
73724,Crotalus basiliscus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30692,73724,Crotalus basiliscus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30692,true,false,false,true,false
7111,Histrionicus histrionicus,Aves,species,10.0,48460/1/2/355675/3/6888/6912/7110,7111,Histrionicus histrionicus,Aves,species,10.0,48460/1/2/355675/3/6888/6912/7110,true,false,false,true,false
9100,Melospiza melodia,Aves,species,10.0,48460/1/2/355675/3/7251/559248/9091,56039,Emberizidae,Aves,family,30.0,48460/1/2/355675/3/7251,false,false,true,false,false
7086,Branta,Aves,genus,20.0,48460/1/2/355675/3/6888/6912,6912,Anatidae,Aves,family,30.0,48460/1/2/355675/3/6888,false,false,false,false,true
4943,Egretta garzetta,Aves,species,10.0,48460/1/2/355675/3/67566/4929/597395/4933,4943,Egretta garzetta,Aves,species,10.0,48460/1/2/355675/3/67566/4929/597395/4933,true,false,false,true,false
60348,Lampropeltis nigra,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797520/29768,29768,Lampropeltis,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/26504/797520,false,false,false,false,true
30733,Crotalus molossus nigrescens,Reptilia,subspecies,5.0,48460/1/2/355675/26036/26172/85553/30667/797576/30692/515948,30692,Crotalus,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/30667/797576,false,false,false,false,true
3785,Sula,Aves,genus,20.0,48460/1/2/355675/3/71268/3784,3793,Sula sula,Aves,species,10.0,48460/1/2/355675/3/71268/3784/3785,true,true,false,false,false
39677,Dermochelys coriacea,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39675/39676,39677,Dermochelys coriacea,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39675/39676,true,false,false,true,false
32191,Liasis fuscus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/67532/32190,32191,Liasis fuscus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/67532/32190,true,false,false,true,false
28976,Psammophis notostictus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/85853/797550/28957,28957,Psammophis,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/85853/797550,false,false,false,false,true
39677,Dermochelys coriacea,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39675/39676,39677,Dermochelys coriacea,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39675/39676,true,false,false,true,false
495182,Trachylepis thomensis,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85552/36982/787702/37413,495182,Trachylepis thomensis,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85552/36982/787702/37413,true,false,false,true,false
473,Fulica americana,Aves,species,10.0,48460/1/2/355675/3/4/154/472,473,Fulica americana,Aves,species,10.0,48460/1/2/355675/3/4/154/472,true,false,false,true,false
39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,true,false,false,true,false
39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,true,false,false,true,false
39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,true,false,false,true,false
4343,Larus,Aves,genus,20.0,48460/1/2/355675/3/67561/4342/447155,4343,Larus,Aves,genus,20.0,48460/1/2/355675/3/67561/4342/447155,false,false,false,true,false
39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,true,false,false,true,false
39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,true,false,false,true,false
39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,39672,Eretmochelys imbricata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39671,true,false,false,true,false
30798,Bothrops asper,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,30798,Bothrops asper,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,true,false,false,true,false
514057,Anser anser × branta canadensis,Aves,hybrid,10.0,48460/1/2/355675/3/6888/6912/508128,6912,Anatidae,Aves,family,30.0,48460/1/2/355675/3/6888,false,false,false,false,true
539050,Bothrops jararaca,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,539050,Bothrops jararaca,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,true,false,false,true,false
30798,Bothrops asper,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,30798,Bothrops asper,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,true,false,false,true,false
7278,Aegithalos caudatus,Aves,species,10.0,48460/1/2/355675/3/7251/7264/7275,7278,Aegithalos caudatus,Aves,species,10.0,48460/1/2/355675/3/7251/7264/7275,true,false,false,true,false
497677,Boa constrictor imperator,Reptilia,subspecies,5.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092/32093,32092,Boa,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/32080/797534,false,false,false,false,true
539399,Boa imperator,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,85553,Serpentes,Reptilia,suborder,37.0,48460/1/2/355675/26036/26172,false,false,false,false,true
539399,Boa imperator,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,32092,Boa,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/32080/797534,false,false,false,false,true
4943,Egretta garzetta,Aves,species,10.0,48460/1/2/355675/3/67566/4929/597395/4933,4943,Egretta garzetta,Aves,species,10.0,48460/1/2/355675/3/67566/4929/597395/4933,true,false,false,true,false
539399,Boa imperator,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,32093,Boa constrictor,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,true,false,true,false,false
539399,Boa imperator,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,497677,Boa constrictor imperator,Reptilia,subspecies,5.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092/32093,true,false,true,false,false
539399,Boa imperator,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,85553,Serpentes,Reptilia,suborder,37.0,48460/1/2/355675/26036/26172,false,false,false,false,true
539399,Boa imperator,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,32093,Boa constrictor,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,true,false,true,false,false
8229,Cyanocitta cristata,Aves,species,10.0,48460/1/2/355675/3/7251/7823/8228,8229,Cyanocitta cristata,Aves,species,10.0,48460/1/2/355675/3/7251/7823/8228,true,false,false,true,false
539399,Boa imperator,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,32093,Boa constrictor,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,true,false,true,false,false
4504,Fratercula arctica,Aves,species,10.0,48460/1/2/355675/3/67561/71295/4503,4504,Fratercula arctica,Aves,species,10.0,48460/1/2/355675/3/67561/71295/4503,true,false,false,true,false
8229,Cyanocitta cristata,Aves,species,10.0,48460/1/2/355675/3/7251/7823/8228,8229,Cyanocitta cristata,Aves,species,10.0,48460/1/2/355675/3/7251/7823/8228,true,false,false,true,false
539399,Boa imperator,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,32093,Boa constrictor,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32092,true,false,true,false,false
4508,Fratercula corniculata,Aves,species,10.0,48460/1/2/355675/3/67561/71295/4503,4508,Fratercula corniculata,Aves,species,10.0,48460/1/2/355675/3/67561/71295/4503,true,false,false,true,false
4672,Falco columbarius,Aves,species,10.0,48460/1/2/355675/3/67570/4637/4638,4644,Falco mexicanus,Aves,species,10.0,48460/1/2/355675/3/67570/4637/4638,true,false,true,false,false
39659,Chelonia mydas,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39658,39659,Chelonia mydas,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39658,true,false,false,true,false
39659,Chelonia mydas,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39658,39659,Chelonia mydas,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39658,true,false,false,true,false
26575,Diadophis punctatus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797518/26574,26591,Diadophis punctatus edwardsii,Reptilia,subspecies,5.0,48460/1/2/355675/26036/26172/85553/26504/797518/26574/26575,true,true,false,false,false
39659,Chelonia mydas,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39658,39659,Chelonia mydas,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39658,true,false,false,true,false
367558,Eupsittula canicularis,Aves,species,10.0,48460/1/2/355675/3/18874/18875/367557,3,Aves,Aves,class,50.0,48460/1/2/355675,false,false,false,false,true
52702,Bromus diandrus,Plantae,species,10.0,48460/47126/211194/47125/47163/47162/47434/514989/602023/52701,164673,Leymus condensatus,Plantae,species,10.0,48460/47126/211194/47125/47163/47162/47434/514989/709543/57185,true,false,true,false,false
73592,Actinemys marmorata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/39760/797516/71788,73592,Actinemys marmorata,Reptilia,species,10.0,48460/1/2/355675/26036/39532/39760/797516/71788,true,false,false,true,false
39675,Dermochelyidae,Reptilia,family,30.0,48460/1/2/355675/26036/39532/372234,39677,Dermochelys coriacea,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39675/39676,true,true,false,false,false
16447,Pyrocephalus rubinus,Aves,species,10.0,48460/1/2/355675/3/7251/15984/16446,16447,Pyrocephalus rubinus,Aves,species,10.0,48460/1/2/355675/3/7251/15984/16446,true,false,false,true,false
217048,Cisthene tenuifascia,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47607/121850/47606/82092/124000/143997,143997,Cisthene,Insecta,genus,20.0,48460/1/47120/372739/47158/184884/47157/47607/121850/47606/82092/124000,false,false,false,false,true
321679,Melipotis perpendicularis,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47607/121850/122426/121547/177071,177071,Melipotis,Insecta,genus,20.0,48460/1/47120/372739/47158/184884/47157/47607/121850/122426/121547,false,false,false,false,true
6990,Bucephala clangula,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6989,6990,Bucephala clangula,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6989,true,false,false,true,false
27087,Eurycea,Amphibia,genus,20.0,48460/1/2/355675/20978/26718/26909/787564,27093,Eurycea cirrigera,Amphibia,species,10.0,48460/1/2/355675/20978/26718/26909/787564/27087,true,true,false,false,false
32407,Xenopeltis unicolor,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32404/32405,32407,Xenopeltis unicolor,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32404/32405,true,false,false,true,false
32055,Elgaria multicarinata,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85552/31888/797512/32049,32055,Elgaria multicarinata,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85552/31888/797512/32049,true,false,false,true,false
67642,Pantherophis spiloides,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797520/59649/857190,59644,Pantherophis alleghaniensis,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797520/59649/857190,true,false,true,false,false
30798,Bothrops asper,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,30798,Bothrops asper,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30767,true,false,false,true,false
23747,Hyla,Amphibia,genus,20.0,48460/1/2/355675/20978/20979/23540/787592,23783,Hyla versicolor,Amphibia,species,10.0,48460/1/2/355675/20978/20979/23540/787592/23747/922247,true,true,false,false,false
52773,Poanes zabulon,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47224/47653/122493/320552/51778,47653,Hesperiidae,Insecta,family,30.0,48460/1/47120/372739/47158/184884/47157/47224,false,false,false,false,true
153942,Rhododendron canadense,Plantae,species,10.0,48460/47126/211194/47125/47124/47181/133387/634911/920521/49487,153942,Rhododendron canadense,Plantae,species,10.0,48460/47126/211194/47125/47124/47181/133387/634911/920521/49487,true,false,false,true,false
9484,Sporophila torqueola,Aves,species,10.0,48460/1/2/355675/3/7251/71369/9483,9483,Sporophila,Aves,genus,20.0,48460/1/2/355675/3/7251/71369,false,false,false,false,true
148524,Antigonus erosus,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47224/47653/51312/320554/148574,47157,Lepidoptera,Insecta,order,40.0,48460/1/47120/372739/47158/184884,false,false,false,false,true
67642,Pantherophis spiloides,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797520/59649/857190,59644,Pantherophis alleghaniensis,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797520/59649/857190,true,false,true,false,false
7057,Aythya valisineria,Aves,species,10.0,48460/1/2/355675/3/6888/6912/7043,6912,Anatidae,Aves,family,30.0,48460/1/2/355675/3/6888,false,false,false,false,true
30136,Pseudalsophis dorsalis occidentalis,Reptilia,subspecies,5.0,48460/1/2/355675/26036/26172/85553/26504/797518/91394/110868,59935,Pseudalsophis biserialis,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797518/91394,true,false,true,false,false
58523,Papilio polyxenes,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/207785/47225/545183,47157,Lepidoptera,Insecta,order,40.0,48460/1/47120/372739/47158/184884,false,false,false,false,true
27380,Desmognathus,Amphibia,genus,20.0,48460/1/2/355675/20978/26718/26909/787551,26718,Caudata,Amphibia,order,40.0,48460/1/2/355675/20978,false,false,false,false,true
154219,Notarctia proxima,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47607/121850/47606/82089/82091/154221,47606,Arctiinae,Insecta,subfamily,27.0,48460/1/47120/372739/47158/184884/47157/47607/121850,false,false,false,false,true
145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,true,false,false,true,false
311319,Palpita flegia,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/49682/52002/122486/892367/176118,47157,Lepidoptera,Insecta,order,40.0,48460/1/47120/372739/47158/184884,false,false,false,false,true
515948,Crotalus molossus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30692,30692,Crotalus,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/30667/797576,false,false,false,false,true
59040,Phyla nodiflora,Plantae,species,10.0,48460/47126/211194/47125/47124/48151/49194/936164/59041,59041,Phyla,Plantae,genus,20.0,48460/47126/211194/47125/47124/48151/49194/936164,false,false,false,false,true
14886,Mimus polyglottos,Aves,species,10.0,48460/1/2/355675/3/7251/59911/14877,14886,Mimus polyglottos,Aves,species,10.0,48460/1/2/355675/3/7251/59911/14877,true,false,false,true,false
10227,Passerina cyanea,Aves,species,10.0,48460/1/2/355675/3/7251/71305/10223,10227,Passerina cyanea,Aves,species,10.0,48460/1/2/355675/3/7251/71305/10223,true,false,false,true,false
82306,Acorus calamus,Plantae,species,10.0,48460/47126/211194/47125/47163/71270/71429/82305,47163,Liliopsida,Plantae,class,50.0,48460/47126/211194/47125,false,false,false,false,true
145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,true,false,false,true,false
145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,true,false,false,true,false
145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,true,false,false,true,false
30337,Drymarchon corais rubidus,Reptilia,subspecies,5.0,48460/1/2/355675/26036/26172/85553/26504/797520/30333/30335,30333,Drymarchon,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/26504/797520,false,false,false,false,true
145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,145310,Spinus tristis,Aves,species,10.0,48460/1/2/355675/3/7251/9079/144410,true,false,false,true,false
30959,Trimeresurus sabahi,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30941,146513,Trimeresurus sumatranus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30941,true,false,true,false,false
274407,Mammillaria chionocephala,Plantae,species,10.0,48460/47126/211194/47125/47124/47366/47903/335455/514201/68192,68192,Mammillaria,Plantae,genus,20.0,48460/47126/211194/47125/47124/47366/47903/335455/514201,false,false,false,false,true
6957,Anas strepera,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6922,6957,Anas strepera,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6922,true,false,false,true,false
11935,Tachycineta bicolor,Aves,species,10.0,48460/1/2/355675/3/7251/11853/11925,11970,Stelgidopteryx serripennis,Aves,species,10.0,48460/1/2/355675/3/7251/11853/11969,true,false,true,false,false
520470,Sistrurus tergeminus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30979,30979,Sistrurus,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/30667/797576,false,false,false,false,true
6930,Anas platyrhynchos,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6922,473,Fulica americana,Aves,species,10.0,48460/1/2/355675/3/4/154/472,true,false,true,false,false
3875,Tringa solitaria,Aves,species,10.0,48460/1/2/355675/3/67561/3835/3874,3893,Tringa flavipes,Aves,species,10.0,48460/1/2/355675/3/67561/3835/3874,true,false,true,false,false
4496,Rynchops niger,Aves,species,10.0,48460/1/2/355675/3/67561/4342/464939/4495,4496,Rynchops niger,Aves,species,10.0,48460/1/2/355675/3/67561/4342/464939/4495,true,false,false,true,false
473,Fulica americana,Aves,species,10.0,48460/1/2/355675/3/4/154/472,473,Fulica americana,Aves,species,10.0,48460/1/2/355675/3/4/154/472,true,false,false,true,false
17646,Picoides albolarvatus,Aves,species,10.0,48460/1/2/355675/3/17550/17599/17637,17646,Picoides albolarvatus,Aves,species,10.0,48460/1/2/355675/3/17550/17599/17637,true,false,false,true,false
148521,Cycloglypha thrasibulus,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47224/47653/51312/320551/148568,447794,Cycloglypha thrasibulus thrasibulus,Insecta,subspecies,5.0,48460/1/47120/372739/47158/184884/47157/47224/47653/51312/320551/148568/148521,true,true,false,false,false
193874,Panthiades bathildis,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47224/47923/125830/125836/522886/201349,193874,Panthiades bathildis,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47224/47923/125830/125836/522886/201349,true,false,false,true,false
28762,Rhinocheilus lecontei,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797520/28759,28759,Rhinocheilus,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/26504/797520,false,false,false,false,true
200206,Corallus batesii,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/32080/797534/32081,32081,Corallus,Reptilia,genus,20.0,48460/1/2/355675/26036/26172/85553/32080/797534,false,false,false,false,true
5305,Haliaeetus leucocephalus,Aves,species,10.0,48460/1/2/355675/3/71261/5067/5303,5305,Haliaeetus leucocephalus,Aves,species,10.0,48460/1/2/355675/3/71261/5067/5303,true,false,false,true,false
12936,Sialia currucoides,Aves,species,10.0,48460/1/2/355675/3/7251/15977/12935,12936,Sialia currucoides,Aves,species,10.0,48460/1/2/355675/3/7251/15977/12935,true,false,false,true,false
6993,Bucephala albeola,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6989,6993,Bucephala albeola,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6989,true,false,false,true,false
8229,Cyanocitta cristata,Aves,species,10.0,48460/1/2/355675/3/7251/7823/8228,8229,Cyanocitta cristata,Aves,species,10.0,48460/1/2/355675/3/7251/7823/8228,true,false,false,true,false
7030,Somateria spectabilis,Aves,species,10.0,48460/1/2/355675/3/6888/6912/7023,7030,Somateria spectabilis,Aves,species,10.0,48460/1/2/355675/3/6888/6912/7023,true,false,false,true,false
12727,Turdus migratorius,Aves,species,10.0,48460/1/2/355675/3/7251/15977/12705,12727,Turdus migratorius,Aves,species,10.0,48460/1/2/355675/3/7251/15977/12705,true,false,false,true,false
520470,Sistrurus tergeminus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30979,533258,Sistrurus tergeminus tergeminus,Reptilia,subspecies,5.0,48460/1/2/355675/26036/26172/85553/30667/797576/30979/520470,true,true,false,false,false
73504,Tiaris olivaceus,Aves,species,10.0,48460/1/2/355675/3/7251/71369/10314,73504,Tiaris olivaceus,Aves,species,10.0,48460/1/2/355675/3/7251/71369/10314,true,false,false,true,false
4235,Aechmophorus occidentalis,Aves,species,10.0,48460/1/2/355675/3/67563/4203/4233,4235,Aechmophorus occidentalis,Aves,species,10.0,48460/1/2/355675/3/67563/4203/4233,true,false,false,true,false
30187,Ahaetulla prasina,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797522/30185,93578,Ahaetulla mycterizans,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797522/30185,true,false,true,false,false
81741,Morpho helenor,Insecta,species,10.0,48460/1/47120/372739/47158/184884/47157/47224/47922/58597/202069/522923/68755,68755,Morpho,Insecta,genus,20.0,48460/1/47120/372739/47158/184884/47157/47224/47922/58597/202069/522923,false,false,false,false,true
